iter	Passed	Remaining
129	1910	12787
130	1921	12747
131	1931	12699
132	1940	12648
133	1950	12607
134	1959	12553
135	1968	12504
136	1976	12451
137	1987	12412
138	1995	12358
139	2005	12317
140	2013	12266
141	2023	12226
142	2033	12188
143	2044	12153
144	2055	12118
145	2065	12082
146	2075	12043
147	2085	12007
148	2094	11959
149	2103	11918
150	2111	11871
151	2120	11831
152	2130	11792
153	2138	11748
154	2148	11710
155	2156	11666
156	2165	11626
157	2173	11584
158	2183	11546
159	2192	11508
160	2201	11471
161	2209	11431
162	2218	11393
163	2228	11360
164	2237	11322
165	2247	11290
166	2258	11267
167	2269	11241
168	2287	11245
169	2301	11238
170	2317	11235
171	2332	11229
172	2349	11230
173	2364	11226
174	2381	11225
175	2400	11239
176	2417	11240
177	2432	11233
178	2448	11231
179	2468	11247
180	2490	11269
181	2510	11281
182	2526	11279
183	2541	11268
184	2553	11249
185	2566	11231
186	2579	11213
187	2592	11195
188	2601	11162
189	2612	11136
190	2622	11109
191	2631	11074
192	2641	11046
193	2651	11015
194	2660	10981
195	2669	10950
196	2677	10915
197	2688	10888
198	2696	10854
199	2706	10824
200	2714	10789
201	2723	10758
202	2731	10723
203	2741	10695
204	2749	10663
205	2759	10634
206	2768	10606
207	2777	10575
208	2786	10547
209	2795	10515
210	2804	10487
211	2813	10456
212	2822	10427
213	2831	10398
214	2839	10367
215	2848	10338
216	2856	10307
217	2865	10280
218	2874	10252
219	2884	10226
220	2893	10197
221	2902	10170
222	2910	10140
223	2919	10113
224	2927	10083
225	2936	10057
226	2945	10029
227	2953	10001
228	2962	9975
229	2971	9946
230	2980	9921
231	2988	9893
232	2997	9868
233	3006	9841
234	3015	9816
235	3024	9791
236	3033	9766
237	3042	9740
238	3051	9714
239	3060	9690
240	3068	9664
241	3077	9639
242	3085	9613
243	3095	9590
244	3103	9564
245	3112	9540
246	3121	9514
247	3130	9492
248	3138	9467
249	3147	9443
250	3156	9419
251	3165	9396
252	3175	9375
253	3183	9350
254	3192	9327
255	3201	9304
256	3211	9283
257	3219	9259
258	3228	9236
259	3238	9218
260	3247	9194
261	3256	9173
262	3264	9149
263	3275	9132
264	3283	9107
265	3292	9085
266	3301	9064
267	3313	9050
268	3326	9039
269	3342	9037
270	3355	9026
271	3369	9017
272	3381	9005
273	3395	8997
274	3409	8988
275	3423	8979
276	3436	8968
277	3447	8954
278	3460	8943
279	3471	8926
280	3480	8906
281	3491	8889
282	3508	8888
283	3525	8888
284	3542	8886
285	3559	8887
286	3582	8899
287	3597	8893
288	3611	8884
289	3628	8882
290	3651	8897
291	3668	8894
292	3681	8884
293	3692	8867
294	3703	8851
295	3715	8836
296	3725	8817
297	3735	8800
298	3746	8784
299	3756	8766
300	3768	8751
301	3779	8734
302	3788	8714
303	3798	8696
304	3806	8674
305	3816	8655
306	3826	8637
307	3834	8615
308	3844	8596
309	3852	8575
310	3862	8556
311	3870	8535
312	3881	8520
313	3896	8512
314	3906	8494
315	3919	8482
316	3933	8476
317	3949	8470
318	3970	8475
319	3983	8465
320	3998	8457
321	4014	8453
322	4030	8448
323	4044	8439
324	4057	8427
325	4069	8413
326	4081	8400
327	4097	8394
328	4115	8394
329	4140	8406
330	4158	8404
331	4171	8393
332	4183	8378
333	4195	8364
334	4206	8350
335	4217	8334
336	4228	8318
337	4240	8305
338	4249	8286
339	4260	8270
340	4270	8253
341	4279	8233
342	4289	8216
343	4298	8197
344	4308	8178
345	4317	8161
346	4326	8140
347	4335	8122
348	4343	8102
349	4353	8084
350	4361	8065
351	4371	8046
352	4379	8027
353	4389	8009
354	4397	7990
355	4406	7971
356	4417	7957
357	4427	7939
358	4436	7922
359	4447	7905
360	4455	7887
361	4465	7870
362	4473	7850
363	4483	7833
364	4491	7814
365	4501	7797
366	4509	7778
367	4519	7761
368	4527	7741
369	4536	7723
370	4544	7705
371	4553	7687
372	4563	7670
373	4571	7652
374	4581	7635
375	4590	7617
376	4599	7600
377	4607	7582
378	4616	7564
379	4626	7548
380	4634	7529
381	4646	7517
382	4660	7507
383	4675	7499
384	4694	7499
385	4712	7496
386	4734	7499
387	4752	7496
388	4770	7492
389	4786	7487
390	4801	7479
391	4818	7473
392	4834	7467
393	4852	7463
394	4868	7457
395	4883	7448
396	4899	7442
397	4915	7434
398	4931	7427
399	4946	7420
400	4962	7412
401	4975	7401
402	4985	7385
403	4995	7369
